instancia                          items       OPT      H_BL     H_PSO    HoptBL   HoptPSO       ms
2000HopperN5e.csv                     73    200.00    267.00    233.00    1.3350    1.1650       92
2000HopperN6a.csv                     97    200.00    252.00    227.00    1.2600    1.1350      120
2000HopperN6b.csv                     97    200.00    241.00    233.00    1.2050    1.1650      121
2000HopperN6c.csv                     97    200.00    246.00    233.00    1.2300    1.1650      123
2000HopperN6d.csv                     97    200.00    236.00    229.00    1.1800    1.1450      128
2000HopperN6e.csv                     97    200.00    242.00    235.00    1.2100    1.1750      132
2000HopperN7a.csv                    197    200.00    244.00    227.00    1.2200    1.1350      327
2000HopperN7b.csv                    197    200.00    226.00    225.00    1.1300    1.1250      337
2000HopperN7c.csv                    197    200.00    235.00    230.00    1.1750    1.1500      332
2000HopperN7d.csv                    197    200.00    240.00    230.00    1.2000    1.1500      389
2000HopperN7e.csv                    197    200.00    231.00    229.00    1.1550    1.1450      356
2000HopperT1a.csv                     17    200.00    256.00    230.00    1.2800    1.1500       12
2000HopperT1b.csv                     17    200.00    277.00    222.00    1.3850    1.1100       12
2000HopperT1c.csv                     17    200.00    223.00    210.00    1.1150    1.0500       11
2000HopperT1d.csv                     17    200.00    347.00    231.00    1.7350    1.1550       13
2000HopperT1e.csv                     17    200.00    257.00    229.00    1.2850    1.1450       22
2000HopperT2a.csv                     25    200.00    249.00    227.00    1.2450    1.1350       36
2000HopperT2b.csv                     25    200.00    226.00    226.00    1.1300    1.1300       35
2000HopperT2c.csv                     25    200.00    288.00    232.00    1.4400    1.1600       24
2000HopperT2d.csv                     25    200.00    241.00    228.00    1.2050    1.1400       25
2000HopperT2e.csv                     25    200.00    290.00    232.00    1.4500    1.1600       19
2000HopperT3a.csv                     29    200.00    258.00    233.00    1.2900    1.1650       24
2000HopperT3b.csv                     29    200.00    248.00    228.00    1.2400    1.1400       25
2000HopperT3c.csv                     29    200.00    250.00    222.00    1.2500    1.1100       24
2000HopperT3d.csv                     29    200.00    290.00    222.00    1.4500    1.1100       23
2000HopperT3e.csv                     29    200.00    243.00    236.00    1.2150    1.1800       23
2000HopperT4a.csv                     49    200.00    259.00    230.00    1.2950    1.1500       52
2000HopperT4b.csv                     49    200.00    250.00    226.00    1.2500    1.1300       51
2000HopperT4c.csv                     49    200.00    273.00    232.00    1.3650    1.1600       48
2000HopperT4d.csv                     49    200.00    232.00    228.00    1.1600    1.1400       48
2000HopperT4e.csv                     49    200.00    261.00    236.00    1.3050    1.1800       47
2000HopperT5a.csv                     73    200.00    233.00    233.00    1.1650    1.1650       92
2000HopperT5b.csv                     73    200.00    228.00    228.00    1.1400    1.1400       89
2000HopperT5c.csv                     73    200.00    233.00    228.00    1.1650    1.1400       90
2000HopperT5d.csv                     73    200.00    245.00    232.00    1.2250    1.1600       86
2000HopperT5e.csv                     73    200.00    244.00    226.00    1.2200    1.1300       83
2000HopperT6a.csv                     97    200.00    233.00    229.00    1.1650    1.1450      116
2000HopperT6b.csv                     97    200.00    246.00    233.00    1.2300    1.1650      124
