instancia,items,ancho,opt_conocido,OPT_ref,H_BL,H_PSO,Hopt_BL,Hopt_PSO,ms
2000HopperT1d.csv,17,200.0000,true,200.0000,347.0000,231.0000,1.735000,1.155000,13
2000HopperT1e.csv,17,200.0000,true,200.0000,257.0000,229.0000,1.285000,1.145000,22
2000HopperT2a.csv,25,200.0000,true,200.0000,249.0000,227.0000,1.245000,1.135000,36
2000HopperT2b.csv,25,200.0000,true,200.0000,226.0000,226.0000,1.130000,1.130000,35
2000HopperT2c.csv,25,200.0000,true,200.0000,288.0000,232.0000,1.440000,1.160000,24
2000HopperT2d.csv,25,200.0000,true,200.0000,241.0000,228.0000,1.205000,1.140000,25
2000HopperT2e.csv,25,200.0000,true,200.0000,290.0000,232.0000,1.450000,1.160000,19
2000HopperT3a.csv,29,200.0000,true,200.0000,258.0000,233.0000,1.290000,1.165000,24
2000HopperT3b.csv,29,200.0000,true,200.0000,248.0000,228.0000,1.240000,1.140000,25
2000HopperT3c.csv,29,200.0000,true,200.0000,250.0000,222.0000,1.250000,1.110000,24
2000HopperT3d.csv,29,200.0000,true,200.0000,290.0000,222.0000,1.450000,1.110000,23
2000HopperT3e.csv,29,200.0000,true,200.0000,243.0000,236.0000,1.215000,1.180000,23
2000HopperT4a.csv,49,200.0000,true,200.0000,259.0000,230.0000,1.295000,1.150000,52
2000HopperT4b.csv,49,200.0000,true,200.0000,250.0000,226.0000,1.250000,1.130000,51
2000HopperT4c.csv,49,200.0000,true,200.0000,273.0000,232.0000,1.365000,1.160000,48
2000HopperT4d.csv,49,200.0000,true,200.0000,232.0000,228.0000,1.160000,1.140000,48
2000HopperT4e.csv,49,200.0000,true,200.0000,261.0000,236.0000,1.305000,1.180000,47
2000HopperT5a.csv,73,200.0000,true,200.0000,233.0000,233.0000,1.165000,1.165000,92
2000HopperT5b.csv,73,200.0000,true,200.0000,228.0000,228.0000,1.140000,1.140000,89
2000HopperT5c.csv,73,200.0000,true,200.0000,233.0000,228.0000,1.165000,1.140000,90
2000HopperT5d.csv,73,200.0000,true,200.0000,245.0000,232.0000,1.225000,1.160000,86
2000HopperT5e.csv,73,200.0000,true,200.0000,244.0000,226.0000,1.220000,1.130000,83
2000HopperT6a.csv,97,200.0000,true,200.0000,233.0000,229.0000,1.165000,1.145000,116
2000HopperT6b.csv,97,200.0000,true,200.0000,246.0000,233.0000,1.230000,1.165000,124
2000HopperT6c.csv,97,200.0000,true,200.0000,242.0000,235.0000,1.210000,1.175000,132
2000HopperT6d.csv,97,200.0000,true,200.0000,241.0000,233.0000,1.205000,1.165000,121
2000HopperT6e.csv,97,200.0000,true,200.0000,245.0000,231.0000,1.225000,1.155000,137
2000HopperT7a.csv,199,200.0000,true,200.0000,224.0000,224.0000,1.120000,1.120000,362
2000HopperT7b.csv,199,200.0000,true,200.0000,227.0000,227.0000,1.135000,1.135000,358
2000HopperT7c.csv,199,200.0000,true,200.0000,235.0000,229.0000,1.175000,1.145000,378
2000HopperT7d.csv,199,200.0000,true,200.0000,231.0000,225.0000,1.155000,1.125000,364
2000HopperT7e.csv,199,200.0000,true,200.0000,232.0000,228.0000,1.160000,1.140000,357
